topic	req_id	source	source_ref	subcategory	feature	mctash_default	mctash_posix	tests	notes
builtin:fc	C5.BUILTIN.FC.ENV	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fc editor env propagation	covered	covered	man-ash-fc-editor-env	Strict comparator case verifies fc editor subprocess observes shell runtime env snapshot.
builtin:fc	C5.BUILTIN.FC.EOVERRIDE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fc -e override precedence	covered	covered	man-ash-fc-e-override	Strict comparator case verifies explicit -e editor precedence over FCEDIT/EDITOR.
builtin:fc	C5.BUILTIN.FC.REF	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fc reference precedence	covered	covered	man-ash-fc-ref-precedence	Strict comparator case verifies all-digit refs use numeric event lookup while non-digit refs use prefix lookup.
builtin:fc	C7.INT.07.FC	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	fc interactive editor execution flow	covered	covered	run_fc_interactive_matrix.sh	Strict PTY comparator evidence verifies interactive fc edit->reexec flow with deterministic editor transform markers.
builtin:fg	C5.BUILTIN.FG	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	fg	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:fg	C8.JOB.03	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	fg builtin jobspec resume in foreground	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive.sh,man-ash-jobs.sh	Strict job-control/signal comparator evidence passes via run_jobs_interactive_matrix.sh, run_trap_noninteractive_matrix.sh, and run_trap_interactive_matrix.sh.
builtin:fg	C8.JOB.24	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	`%jobspec` and `%jobspec &` command forms map to `fg` and `bg` behavior	covered	covered	bash-man-jobcontrol-jobspec-command-forms.sh,run_jobs_interactive_matrix.sh	Dedicated non-interactive and PTY interactive comparator cases cover `%jobspec` foreground/background shorthand dispatch and redirection-safe forms.; design:docs/design/job-control-runtime-model.md
builtin:getopts	C5.BUILTIN.GETOPTS	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	getopts	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:hash	C5.BUILTIN.HASH	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	hash	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:help	C1.OPT.LONG.HELP	bash-man	bash(1) section OPTIONS	invocation.long-option	--help	covered	covered	run_bash_invocation_option_matrix.sh	Mapped by run_bash_invocation_option_matrix.sh (and startup mode matrix where applicable); comparator evidence run passes in default and --posix lanes.
builtin:help	C5.BUILTIN.HELP	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	help	covered	covered	bash-builtin-help	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:history	BPOSIX.CORE.028	bash-posix-doc	bash/POSIX 6.11.2 item 28	expansion-redir	Prompt expansion enables the POSIX ‘PS1’ and ‘PS2’ expansions of ‘!’ to the history number and ‘!!’ to ‘!’, and Bash performs parameter expansion on the values of ‘PS1’ and ‘PS2’ regardless of the setting of the ‘promptvars’ option.	covered	covered	bash-posix-doc-028.sh	Comparator case validates promptvars/PS1 behavior in POSIX interactive lane.
builtin:history	BPOSIX.CORE.029	bash-posix-doc	bash/POSIX 6.11.2 item 29	interactive	The default history file is ‘~/.sh_history’ (this is the default value the shell assigns to ‘$HISTFILE’).	covered	covered	bash-posix-doc-029.sh	Strict comparator case validates default HISTFILE state in POSIX mode.
builtin:history	BPOSIX.CORE.030	bash-posix-doc	bash/POSIX 6.11.2 item 30	interactive	The ‘!’ character does not introduce history expansion within a double-quoted string, even if the ‘histexpand’ option is enabled.	covered	covered	bash-posix-doc-030.sh	Strict comparator case validates `!` handling in double quotes under POSIX mode.
builtin:history	C1.OPT.SETO.HISTORY	bash-man	bash(1) section set builtin	invocation.set-o-option	history	covered	covered	bash-man-seto-surface.sh	Mapped by bash-man-seto-surface.sh; comparator evidence run passes in default and --posix lanes.
builtin:history	C5.BUILTIN.HISTORY	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	history	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:history	C7.INT.05	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	history list/edit/delete/write/read	covered	covered	run_interactive_ux_matrix.sh,man-bash-posix-12-history-suspend-logout.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
builtin:history	C7.INT.06	bash-man	bash(1) section PROMPTING + READLINE + HISTORY	interactive	history expansion ! forms	covered	covered	run_interactive_ux_matrix.sh,man-bash-posix-12-history-suspend-logout.sh	Strict PTY interactive comparator evidence passes via run_interactive_ux_matrix.sh and run_completion_interactive_matrix.sh.
builtin:jobs	BCOMPAT.52.003	bash-compat-doc	bash/COMPAT level 52 item 3	compat-delta	interactive shells will notify the user of completed jobs while sourcing a script. Newer versions defer notification until script execution completes.	partial	partial	bash-compat-doc-52-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
builtin:jobs	C5.BUILTIN.JOBS	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	jobs	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:jobs	C8.JOB.02	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	jobs builtin listing forms	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive.sh,man-ash-jobs.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:jobs	C8.JOB.07	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	signal delivery to foreground jobs	covered	covered	man-ash-trap-signal-matrix.sh,man-ash-trap-delivery.sh	Strict job-control/signal comparator evidence passes via run_jobs_interactive_matrix.sh, run_trap_noninteractive_matrix.sh, and run_trap_interactive_matrix.sh.
builtin:jobs	C8.JOB.15	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	background launch banner `[job] pid` is emitted for async jobs	covered	covered	man-bash-posix-10-jobs-fg-bg-interactive.sh,run_jobs_interactive_matrix.sh	Dedicated strict comparator lane (`bg-launch-banner`) asserts interactive async launch banner presence and format parity (PID normalized).; design:docs/design/job-control-runtime-model.md
builtin:kill	BPOSIX.CORE.057	bash-posix-doc	bash/POSIX 6.11.2 item 57	misc-posix-mode	The output of ‘kill -l’ prints all the signal names on a single line, separated by spaces, without the ‘SIG’ prefix.	covered	covered	bash-posix-doc-057.sh	Strict comparator case validates POSIX row 57 behavior in current runtime lane.
builtin:kill	BPOSIX.CORE.058	bash-posix-doc	bash/POSIX 6.11.2 item 58	builtins	The ‘kill’ builtin does not accept signal names with a ‘SIG’ prefix.	covered	covered	bash-posix-doc-058.sh	Strict comparator case validates kill SIG-prefix rejection in POSIX mode.
builtin:kill	BPOSIX.CORE.059	bash-posix-doc	bash/POSIX 6.11.2 item 59	jobs-signals	The ‘kill’ builtin returns a failure status if any of the pid or job arguments are invalid or if sending the specified signal to any of them fails. In default mode, ‘kill’ returns success if the signal was successfully sent to any of the specified processes.	covered	covered	bash-posix-doc-059.sh	Strict comparator case validates POSIX row 59 behavior in current runtime lane.
builtin:kill	C5.BUILTIN.KILL	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	kill	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:let	C5.BUILTIN.LET	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	let	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:local	C5.BUILTIN.LOCAL	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	local	covered	covered	bash-builtin-declare-typeset-local	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:logout	C5.BUILTIN.LOGOUT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	logout	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:mapfile	C5.BUILTIN.MAPFILE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	mapfile	covered	covered	bash-compat-mapfile-readarray	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:popd	C5.BUILTIN.POPD	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	popd	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:printf	BPOSIX.CORE.060	bash-posix-doc	bash/POSIX 6.11.2 item 60	builtins	The ‘printf’ builtin uses ‘double’ (via ‘strtod’) to convert arguments corresponding to floating point conversion specifiers, instead of ‘long double’ if it's available. The ‘L’ length modifier forces ‘printf’ to use ‘long double’ if it's available.	covered	covered	bash-posix-doc-060.sh	Strict comparator case validates printf floating-point conversion behavior.
builtin:printf	C5.BUILTIN.PRINTF	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	printf	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:pushd	C5.BUILTIN.PUSHD	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	pushd	covered	covered	bash-builtin-dirstack	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:pwd	BPOSIX.CORE.061	bash-posix-doc	bash/POSIX 6.11.2 item 61	builtins	The ‘pwd’ builtin verifies that the value it prints is the same as the current directory, even if it is not asked to check the file system with the ‘-P’ option.	covered	covered	bash-posix-doc-061.sh	Strict comparator case validates POSIX row 61 behavior in current runtime lane.
builtin:pwd	C5.BUILTIN.PWD	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	pwd	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:read	BPOSIX.CORE.062	bash-posix-doc	bash/POSIX 6.11.2 item 62	builtins	The ‘read’ builtin may be interrupted by a signal for which a trap has been set. If Bash receives a trapped signal while executing ‘read’, the trap handler executes and ‘read’ returns an exit status greater than 128.	covered	covered	bash-posix-doc-062.sh	Strict comparator case validates read interruption status with trapped signal path.
builtin:read	C4.REDIR.004	bash-man	bash(1) section REDIRECTION	redirection	[n]<>word read/write redirection	covered	covered	man-ash-redir-heredoc-matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:read	C5.BUILTIN.READ	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	read	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:read	C8.JOB.18	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	background process read from controlling tty gets SIGTTIN stop	covered	covered	run_job_tty_stop_matrix.sh	Interactive PTY comparator `sigttin` lane verifies background tty-read job transitions to `Stopped(SIGTTIN)` and remains jobspec-addressable for cleanup.; design:docs/design/job-control-runtime-model.md
builtin:read	C8.JOB.21	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	delayed suspend char ^Y stops on terminal-read attempt	covered	covered	bash-man-jobcontrol-suspend-y.sh,run_job_suspend_ctrl_matrix.sh	Covered in comparator scope with informational `^Y` (`dsusp`) probing lane and explicit terminal-driver caveat for non-deterministic PTY automation semantics.; design:docs/design/job-control-runtime-model.md
builtin:readarray	C5.BUILTIN.READARRAY	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	readarray	covered	covered	bash-compat-mapfile-readarray	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:readonly	BPOSIX.CORE.037	bash-posix-doc	bash/POSIX 6.11.2 item 37	builtins	A non-interactive shell exits with an error status if the iteration variable in a ‘for’ statement or the selection variable in a ‘select’ statement is a readonly variable or has an invalid name.	covered	covered	bash-posix-doc-037.sh	Strict semantic parity case: readonly for-loop iterator assignment is fatal in non-interactive shell.
builtin:readonly	C5.BUILTIN.READONLY	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	readonly	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:return	BCOMPAT.51.008	bash-compat-doc	bash/COMPAT level 51 item 8	compat-delta	`test -v', when given an argument of A[@], where A is an existing associative array, will return true if the array has any set elements. Bash-5.2 will look for a key named `@';	partial	partial	bash-compat-doc-51-008.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 8; compatibility deltas are cumulative.
builtin:return	BCOMPAT.51.009	bash-compat-doc	bash/COMPAT level 51 item 9	compat-delta	the ${param[:]=value} word expansion will return VALUE, before any variable-specific transformations have been performed (e.g., converting to lowercase). Bash-5.2 will return the final value assigned to the variable, as POSIX specifies;	partial	partial	bash-compat-doc-51-009.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 9; compatibility deltas are cumulative.
builtin:return	C5.BUILTIN.RETURN	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	return	covered	covered	man-bash-posix-09-return-exit	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:return	C8.JOB.10	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	DEBUG/RETURN/ERR trap options and inheritance	covered	covered	man-ash-trap-signal-matrix.sh,man-ash-trap-delivery.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:set	BCOMPAT.50.001	bash-compat-doc	bash/COMPAT level 50 item 1	compat-delta	Bash-5.1 changed the way $RANDOM is generated to introduce slightly more randomness. If the shell compatibility level is set to 50 or lower, it reverts to the method from bash-5.0 and previous versions, so seeding the random number generator by assigning a value to RANDOM will produce the same sequence as in bash-5.0	partial	partial	bash-compat-doc-50-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
builtin:set	BCOMPAT.50.003	bash-compat-doc	bash/COMPAT level 50 item 3	compat-delta	Bash-5.1 and later use pipes for here-documents and here-strings if they are smaller than the pipe capacity. If the shell compatibility level is set to 50 or lower, it reverts to using temporary files.	partial	partial	bash-compat-doc-50-003.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat50 (set using BASH_COMPAT) item 3; compatibility deltas are cumulative.
builtin:set	BPOSIX.CORE.001	bash-posix-doc	bash/POSIX 6.11.2 item 1	startup-mode	Bash ensures that the ‘POSIXLY_CORRECT’ variable is set.	covered	covered	bash-posix-doc-001.sh	Row-level comparator evidence now passes for --posix POSIXLY_CORRECT exposure in focused lane; Source: bash/POSIX 6.11.2 item 1.
builtin:set	BPOSIX.CORE.063	bash-posix-doc	bash/POSIX 6.11.2 item 63	builtins	When the ‘set’ builtin is invoked without options, it does not display shell function names and definitions.	covered	covered	bash-posix-doc-063.sh	Strict comparator case validates POSIX row 63 behavior in current runtime lane.
builtin:set	BPOSIX.CORE.064	bash-posix-doc	bash/POSIX 6.11.2 item 64	builtins	When the ‘set’ builtin is invoked without options, it displays variable values without quotes, unless they contain shell metacharacters, even if the result contains nonprinting characters.	covered	covered	bash-posix-doc-064.sh	Strict comparator case validates POSIX row 64 behavior in current runtime lane.
builtin:set	BPOSIX.CORE.069	bash-posix-doc	bash/POSIX 6.11.2 item 69	misc-posix-mode	‘trap -p’ without arguments displays signals whose dispositions are set to SIG_DFL and those that were ignored when the shell started, not just trapped signals.	covered	covered	bash-posix-doc-069.sh	Strict comparator case validates POSIX row 69 behavior in current runtime lane.
builtin:set	C11.MODE.01	bash-man	bash(1) section OPTIONS + INVOCATION	mode-framework	set -o option reporting format	covered	covered	bash-man-seto-surface.sh,run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:set	C5.BUILTIN.SET	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	set	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:set	C8.JOB.06	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	trap set/list/clear handlers	covered	covered	man-ash-trap-signal-matrix.sh,man-ash-trap-delivery.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:set	C8.JOB.11	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	set -m monitor mode behavior	covered	covered	man-ash-set-monitor.sh	Strict job-control/signal comparator evidence passes via run_jobs_interactive_matrix.sh, run_trap_noninteractive_matrix.sh, and run_trap_interactive_matrix.sh.
builtin:set	C8.JOB.12	bash-man	bash(1) section SIGNALS + JOB CONTROL + builtins	jobs-signals	notification mode set -b/notify	covered	covered	man-ash-set-monitor.sh	Strict job-control/signal comparator evidence passes via run_jobs_interactive_matrix.sh, run_trap_noninteractive_matrix.sh, and run_trap_interactive_matrix.sh.
builtin:set	C8.JOB.25	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	job status notifications are deferred to prompt by default and immediate with `set -b`	covered	covered	run_job_notify_matrix.sh	Strict PTY notify matrix now enforces ordering parity showing deferred default notices at prompt boundaries and immediate notice emission with `set -b` within command execution flow.; design:docs/design/job-control-runtime-model.md
builtin:shift	BPOSIX.CORE.044	bash-posix-doc	bash/POSIX 6.11.2 item 44	expansion-redir	Enabling POSIX mode has the effect of setting the ‘shift_verbose’ option, so numeric arguments to ‘shift’ that exceed the number of positional parameters will result in an error message.	covered	covered	bash-posix-doc-044.sh	Strict comparator case validates special-builtin dispatch precedence in POSIX lane.
builtin:shift	C5.BUILTIN.SHIFT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	shift	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:shopt	C11.MODE.02	bash-man	bash(1) section OPTIONS + INVOCATION	mode-framework	shopt -p reporting format	covered	covered	bash-man-seto-surface.sh,run_startup_mode_matrix.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:shopt	C5.BUILTIN.SHOPT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	shopt	covered	covered	man-bash-posix-11-extension-builtins-core	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:shopt	C9.COMP.04	bash-man	bash(1) section SHELL COMPATIBILITY MODE + RESTRICTED SHELL	compatibility	shopt compat31..compat44 switches	covered	covered	run_startup_mode_matrix.sh,man-bash-posix-08-declare-posix-policy.sh	Row-level evidence mapping assigned from requirement->case rules. Evidence run: mapped tests all pass.
builtin:source	BPOSIX.CORE.039	bash-posix-doc	bash/POSIX 6.11.2 item 39	builtins	Non-interactive shells exit if there is a syntax error in a script read with the ‘.’ or ‘source’ builtins, or in a string processed by the ‘eval’ builtin.	covered	covered	bash-posix-doc-039.sh	Strict semantic parity case: eval syntax error is fatal in non-interactive shell.
builtin:source	BPOSIX.CORE.046	bash-posix-doc	bash/POSIX 6.11.2 item 46	expansion-redir	The ‘.’ and ‘source’ builtins do not search the current directory for the filename argument if it is not found by searching ‘PATH’.	covered	covered	bash-posix-doc-046.sh	Strict comparator case validates dot/source PATH-only lookup when operand lacks slash.
builtin:source	C5.BUILTIN.SOURCE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	source	covered	covered	man-bash-posix-05-dot-source	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:suspend	C5.BUILTIN.SUSPEND	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	suspend	covered	covered	man-bash-posix-12-history-suspend-logout	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:suspend	C8.JOB.20	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	interactive suspend char ^Z stops foreground job and returns prompt	covered	covered	run_jobs_interactive_matrix.sh,run_job_suspend_ctrl_matrix.sh	Covered in comparator scope via strict signal-equivalent foreground stop lane plus informational literal `^Z` PTY lane for control-character behavior under automated terminals.; design:docs/design/job-control-runtime-model.md
builtin:test	BCOMPAT.52.001	bash-compat-doc	bash/COMPAT level 52 item 1	compat-delta	the test builtin uses its historical algorithm for parsing expressions composed of five or more primaries.	partial	partial	bash-compat-doc-52-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat52 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
builtin:test	BPOSIX.CORE.065	bash-posix-doc	bash/POSIX 6.11.2 item 65	builtins	The ‘test’ builtin compares strings using the current locale when evaluating the ‘<’ and ‘>’ binary operators.	covered	covered	bash-posix-doc-065.sh	Strict comparator case validates POSIX row 65 behavior in current runtime lane.
builtin:test	BPOSIX.CORE.066	bash-posix-doc	bash/POSIX 6.11.2 item 66	builtins	The ‘test’ builtin's ‘-t’ unary primary requires an argument. Historical versions of ‘test’ made the argument optional in certain cases, and Bash attempts to accommodate those for backwards compatibility.	covered	covered	bash-posix-doc-066.sh	Strict comparator case validates POSIX row 66 behavior in current runtime lane.
builtin:test	C5.BUILTIN.TEST	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	test	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:times	C5.BUILTIN.TIMES	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	times	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:trap	BPOSIX.CORE.067	bash-posix-doc	bash/POSIX 6.11.2 item 67	builtins	The ‘trap’ builtin displays signal names without the leading ‘SIG’.	covered	covered	bash-posix-doc-067.sh	Strict comparator case validates POSIX row 67 behavior in current runtime lane.
builtin:trap	BPOSIX.CORE.068	bash-posix-doc	bash/POSIX 6.11.2 item 68	builtins	The ‘trap’ builtin doesn't check the first argument for a possible signal specification and revert the signal handling to the original disposition if it is, unless that argument consists solely of digits and is a valid signal number. If users want to reset the handler for a given signal to the original disposition, they should use ‘-’ as the first argument.	covered	covered	bash-posix-doc-068.sh	Strict comparator case validates POSIX row 68 behavior in current runtime lane.
builtin:trap	C5.BUILTIN.TRAP	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	trap	covered	covered	man-bash-posix-03-io-signals	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:trap	C8.JOB.26	bash-man	bash(1) section JOB CONTROL	jobs-control-detail	`trap SIGCHLD` runs per exiting child	covered	covered	bash-man-jobcontrol-sigchld-per-child.sh	Dedicated comparator case covers CHLD trap delivery across two async children with sequential waits and bash-matching wait status/marker ordering.; design:docs/design/job-control-runtime-model.md
builtin:true	C5.BUILTIN.TRUE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	true	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:type	BPOSIX.CORE.018	bash-posix-doc	bash/POSIX 6.11.2 item 18	builtins	Command lookup finds POSIX special builtins before shell functions, including output printed by the ‘type’ and ‘command’ builtins.	covered	covered	bash-posix-doc-018.sh	Strict comparator probe validates special-builtin precedence against function shadowing and reporting surfaces for `type`/`command`; Source: bash/POSIX 6.11.2 item 18.
builtin:type	BPOSIX.CORE.031	bash-posix-doc	bash/POSIX 6.11.2 item 31	parse-grammar	When printing shell function definitions (e.g., by ‘type’), Bash does not print the ‘function’ reserved word unless necessary.	covered	covered	bash-posix-doc-031.sh	Strict comparator case validates POSIX `type` function formatting behavior.
builtin:type	BPOSIX.CORE.070	bash-posix-doc	bash/POSIX 6.11.2 item 70	expansion-redir	The ‘type’ and ‘command’ builtins will not report a non-executable file as having been found, though the shell will attempt to execute such a file if it is the only so-named file found in ‘$PATH’.	covered	covered	bash-posix-doc-070.sh	Strict comparator probe validates command/type non-exec reporting policy with execute-attempt fallback remaining permission-denied class; Source: bash/POSIX 6.11.2 item 70.
builtin:type	C5.BUILTIN.TYPE	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	type	covered	covered	man-bash-posix-02-path-command	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:typeset	C5.BUILTIN.TYPESET	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	typeset	covered	covered	bash-builtin-declare-typeset-local	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:ulimit	BPOSIX.CORE.071	bash-posix-doc	bash/POSIX 6.11.2 item 71	builtins	The ‘ulimit’ builtin uses a block size of 512 bytes for the ‘-c’ and ‘-f’ options.	covered	covered	bash-posix-doc-071.sh	Strict comparator case validates POSIX row 71 behavior in current runtime lane.
builtin:ulimit	C5.BUILTIN.ULIMIT	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	ulimit	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:umask	C5.BUILTIN.UMASK	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	umask	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:unalias	C5.BUILTIN.UNALIAS	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	unalias	covered	covered	man-bash-posix-04-misc-builtins	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:unset	BCOMPAT.51.001	bash-compat-doc	bash/COMPAT level 51 item 1	compat-delta	The `unset' builtin will unset the array a given an argument like `a[@]'. Bash-5.2 will unset an element with key `@' (associative arrays) or remove all the elements without unsetting the array (indexed arrays)	partial	partial	bash-compat-doc-51-001.sh	Scaffold comparator case mapped and executable; strict row-level assertions pending. Source: bash/COMPAT compat51 (set using BASH_COMPAT) item 1; compatibility deltas are cumulative.
builtin:unset	BPOSIX.CORE.072	bash-posix-doc	bash/POSIX 6.11.2 item 72	builtins	The ‘unset’ builtin with the ‘-v’ option specified returns a fatal error if it attempts to unset a ‘readonly’ or ‘non-unsettable’ variable, which causes a non-interactive shell to exit.	covered	covered	bash-posix-doc-072.sh	Strict semantic parity case tracks bash comparator behavior for unset -v readonly (non-fatal with nonzero status).
builtin:unset	BPOSIX.CORE.073	bash-posix-doc	bash/POSIX 6.11.2 item 73	builtins	"When asked to unset a variable that appears in an assignment statement preceding the command, the ‘unset’ builtin attempts to unset a variable of the same name in the current or previous scope as well. This implements the required ""if an assigned variable is further modified by the utility, the modifications made by the utility shall persist"" behavior."	covered	covered	bash-posix-doc-073.sh	Strict semantic parity case: unset effect with assignment prefix persists per comparator behavior.
builtin:unset	C5.BUILTIN.UNSET	bash-man	bash(1) section SHELL BUILTIN COMMANDS	builtin.command	unset	covered	covered	man-bash-posix-01-core-state	Seeded from tests/compat/bash_posix_man_coverage.tsv
builtin:wait	BPOSIX.CORE.026	bash-posix-doc	bash/POSIX 6.11.2 item 26	jobs-signals	Bash permanently removes jobs from the jobs table after notifying the user of their termination via the ‘wait’ or ‘jobs’ builtins. It removes the job from the jobs list after notifying the user of its termination, but the status is still available via ‘wait’, as long as ‘wait’ is supplied a PID argument.	covered	covered	bash-posix-doc-026.sh	Strict comparator case validates `wait` status-retention semantics after notification.
